firmware_version,release_date,previous_version,days_since_previous_release,patch_type,patch_size_mb,files_changed,lines_changed,is_hotfix,code_churn_score
10.0.1,2024-01-30,,,feature,69.57356231283119,11,642,0,38.913043478260875
10.0.2,2024-02-22,10.0.1,23.0,bugfix,9.413555792193058,1,64,0,3.782608695652174
10.1.0,2024-03-15,10.0.2,22.0,security,198.8618506005132,26,1130,0,77.36363636363637
10.1.1,2024-04-06,10.1.0,22.0,feature,203.47704669850523,29,1374,0,91.45454545454545
10.2.0,2024-05-16,10.1.1,40.0,bugfix,143.39175269625636,19,984,0,43.6
10.2.1,2024-06-17,10.2.0,32.0,hotfix,177.63747070074507,24,1208,1,61.75
10.3.0,2024-07-07,10.2.1,20.0,feature,144.1677433550419,17,814,0,57.7
10.4.0,2024-08-06,10.3.0,30.0,feature,175.79746443443338,22,1085,0,58.166666666666664
10.4.1,2024-09-02,10.4.0,27.0,bugfix,34.84102364051023,2,89,0,5.296296296296296
10.4.2,2024-09-07,10.4.1,5.0,bugfix,29.9897741189069,4,209,0,45.8
10.4.3,2024-09-21,10.4.2,14.0,bugfix,136.33336866377056,17,1032,0,90.71428571428571
10.4.4,2024-10-19,10.4.3,28.0,hotfix,110.75678052691663,7,146,1,12.214285714285715
10.5.0,2024-11-27,10.4.4,39.0,feature,174.78799866658238,22,1067,0,49.35897435897436
10.5.1,2024-12-19,10.5.0,22.0,security,193.59972577984615,25,1276,0,83.0
10.5.2,2025-01-07,10.5.1,19.0,bugfix,129.86591744011344,13,682,0,48.89473684210526
10.6.0,2025-02-02,10.5.2,26.0,bugfix,114.28724492633519,14,658,0,39.30769230769231
10.6.1,2025-02-20,10.6.0,18.0,bugfix,115.3677748631194,20,764,0,62.44444444444444
10.6.2,2025-03-14,10.6.1,22.0,bugfix,66.35841882802154,9,480,0,30.818181818181817
10.7.0,2025-04-07,10.6.2,24.0,security,17.396280296305456,1,102,0,5.25
10.7.1,2025-04-21,10.7.0,14.0,feature,137.77460809892034,18,705,0,68.35714285714286
10.7.2,2025-05-24,10.7.1,33.0,feature,73.8003857720244,9,528,0,25.0
10.7.3,2025-06-05,10.7.2,12.0,bugfix,86.43749959513015,11,517,0,54.083333333333336
10.7.4,2025-06-16,10.7.3,11.0,hotfix,193.33506382592387,28,1390,1,154.36363636363637
10.7.5,2025-07-12,10.7.4,26.0,security,66.14547660768179,6,223,0,14.576923076923077
10.8.0,2025-08-13,10.7.5,32.0,feature,28.791189606451013,2,86,0,4.6875
10.9.0,2025-09-08,10.8.0,26.0,bugfix,62.025707268223336,8,510,0,27.615384615384617
10.9.1,2025-10-01,10.9.0,23.0,bugfix,64.37000149120325,7,396,0,24.217391304347824
10.9.2,2025-10-22,10.9.1,21.0,bugfix,135.08797082756385,21,1288,0,82.33333333333334
10.9.3,2025-11-11,10.9.2,20.0,bugfix,114.95017324952545,17,996,0,66.8
10.9.4,2025-12-16,10.9.3,35.0,feature,237.7626842226471,28,1470,0,70.0
10.10.0,2026-01-13,10.9.4,28.0,feature,203.3222996142876,25,1512,0,79.0
10.10.1,2026-02-03,10.10.0,21.0,hotfix,96.77956207105524,20,1059,1,70.42857142857143
10.11.0,2026-02-21,10.10.1,18.0,bugfix,164.29191385587865,29,1584,0,117.0
10.11.1,2026-03-24,10.11.0,31.0,bugfix,40.05880062227915,3,135,0,7.354838709677419
10.11.2,2026-04-28,10.11.1,35.0,bugfix,12.360718041701212,4,204,0,9.82857142857143
10.12.0,2026-06-01,10.11.2,34.0,bugfix,25.28918926892322,2,70,0,4.0588235294117645
10.12.1,2026-06-17,10.12.0,16.0,bugfix,146.69299531451847,22,1239,0,99.4375
10.12.2,2026-07-08,10.12.1,21.0,bugfix,96.68042820826639,12,478,0,34.76190476190476
10.12.3,2026-07-28,10.12.2,20.0,bugfix,38.964181574451544,8,466,0,31.3
10.12.4,2026-08-20,10.12.3,23.0,feature,156.3008952297687,16,777,0,49.78260869565217
10.12.5,2026-09-22,10.12.4,33.0,bugfix,37.243923720928336,2,150,0,6.545454545454546
10.12.6,2026-10-30,10.12.5,38.0,security,177.11689001865665,23,1258,0,56.10526315789474
10.12.7,2026-11-27,10.12.6,28.0,feature,140.49300736532084,22,1356,0,70.42857142857143
10.12.8,2026-12-15,10.12.7,18.0,bugfix,81.15607541052464,6,354,0,25.666666666666668
10.12.9,2027-01-08,10.12.8,24.0,security,82.36290139549037,6,184,0,13.666666666666668
10.12.10,2027-02-17,10.12.9,40.0,security,161.26782234853323,15,742,0,33.55
10.12.11,2027-03-14,10.12.10,25.0,bugfix,77.46802122625097,9,345,0,22.8
10.12.12,2027-04-05,10.12.11,22.0,bugfix,24.828784508691395,3,123,0,8.59090909090909
10.12.13,2027-04-27,10.12.12,22.0,feature,45.98569981070841,4,291,0,17.227272727272727
10.12.14,2027-05-25,10.12.13,28.0,bugfix,192.6843515935068,33,1760,0,95.85714285714286
